Number	Label	Label V2.x	Text	Text2	Text3	Text4	Text5	Full description
1	DESPC	READNP	1	2	4	4	6	Paragraph count, number of paragraphs
2	DESSC	READNS	24	43	84	84	111	Sentence count, number of sentences
3	DESWC	READNW	529	998	2059	2059	2776	Word count, number of words
4	DESPL	READAPL	24	21.5	21	21	18.5	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	0	3.536	4.967	4.967	5.541	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	22.042	23.209	24.512	24.512	25.009	Sentence length, number of words, mean
7	DESSLd	n/a	12.103	11.883	13.091	13.091	14.110	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.603	1.594	1.596	1.596	1.586	Word length, number of syllables, mean
9	DESWLsyd	n/a	1.017	1.018	0.959	0.959	0.940	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	4.645	4.620	4.680	4.680	4.655	Word length, number of letters, mean
11	DESWLltd	n/a	2.870	2.860	2.762	2.762	2.731	Word length, number of letters, standard deviation
12	PCNARz	n/a	0.720	0.632	0.222	0.222	0.241	Text Easability PC Narrativity, z score
13	PCNARp	n/a	76.110	73.570	58.710	58.710	59.480	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	-0.377	0.022	-0.415	-0.414	-0.569	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	35.570	50.800	34.090	34.090	28.430	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	-0.011	-0.127	-0.133	-0.133	-0.107	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	49.600	45.220	44.830	44.830	46.020	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-0.072	0.392	-0.117	-0.120	-0.106	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	47.210	65.170	45.620	45.220	46.020	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	2.169	2.149	1.353	1.355	1.422	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	98.460	98.380	91.150	91.150	92.220	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	-0.992	-0.786	-0.546	-0.549	-0.429	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	16.110	21.770	29.460	29.460	33.360	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-1.045	-1.087	-1.255	-1.257	-0.864	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	14.920	14.010	10.560	10.560	19.490	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	-1.928	-1.984	-1.751	-1.753	-1.460	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	2.740	2.390	4.010	4.010	7.210	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.348	0.381	0.325	0.325	0.318	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.826	0.833	0.735	0.735	0.727	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.391	0.405	0.386	0.386	0.364	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.184	0.184	0.182	0.182	0.170	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.649	0.651	0.558	0.558	0.549	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.227	0.224	0.232	0.232	0.221	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.120	0.123	0.107	0.107	0.112	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.082	0.085	0.093	0.093	0.100	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.096	0.095	0.077	0.077	0.075	Content word overlap, all sentences, proportional, mean
